Maturity,Coupon,Bid,Asked,Chg,Asked Yield
3/31/2020,1.125,100.2109,100.2266,-0.0938,1.069
3/31/2020,1.375,101.1563,101.1719,-0.0625,1.084
4/30/2020,1.125,100.1172,100.1328,-0.0625,1.093
4/30/2020,1.375,101.1328,101.1484,-0.0781,1.096
5/15/2020,3.5,109.9063,109.9219,-0.0703,1.109
5/15/2020,8.75,131.7188,131.7344,-0.0938,1.105
5/31/2020,1.375,101.1172,101.1328,-0.0781,1.105
5/31/2020,1.5,101.7109,101.7266,-0.0469,1.088
6/30/2020,1.625,102.1484,102.1641,-0.0625,1.118
6/30/2020,1.875,103.2578,103.2734,-0.0547,1.108
7/31/2020,1.625,102.1719,102.1875,-0.0391,1.122
7/31/2020,2,103.7344,103.75,-0.0859,1.138
8/15/2020,2.625,106.4922,106.5078,-0.0469,1.142
8/15/2020,8.75,133.4297,133.4453,-0.1094,1.129
8/31/2020,1.375,101.1641,101.1797,0.0078,1.109
8/31/2020,2.125,104.2813,104.2969,-0.0625,1.153
9/30/2020,1.375,101.0156,101.0313,-0.0313,1.146
9/30/2020,2,103.7734,103.7891,-0.0547,1.158
10/31/2020,1.375,100.9844,101,-0.0234,1.157
10/31/2020,1.75,102.5781,102.5938,-0.0391,1.183
11/15/2020,2.625,106.5781,106.5938,-0.0703,1.196
11/30/2020,1.625,102.2422,102.2578,-0.0078,1.141
11/30/2020,2,103.75,103.7656,-0.0313,1.191
12/31/2020,1.75,102.7734,102.7891,-0.0391,1.161
12/31/2020,2.375,105.5781,105.5938,-0.0547,1.193
1/31/2021,1.375,101.0625,101.0781,-0.0234,1.151
1/31/2021,2.125,104.4375,104.4531,-0.0703,1.2
2/15/2021,3.625,111.6563,111.6719,-0.0547,1.218
2/15/2021,7.875,132.3672,132.3828,-0.0547,1.2
2/28/2021,2,103.7734,103.7891,-0.0469,1.224
3/31/2021,2.25,105.0156,105.0313,-0.0469,1.236
4/30/2021,2.25,105.0547,105.0703,-0.0391,1.244
5/15/2021,3.125,109.4922,109.5078,-0.0547,1.252
5/15/2021,8.125,134.9297,134.9453,-0.0703,1.242
5/31/2021,2,103.7422,103.7578,-0.0781,1.265
6/30/2021,2.125,104.4141,104.4297,-0.0547,1.272
7/31/2021,2.25,105.1328,105.1484,-0.0078,1.273
8/15/2021,2.125,104.4609,104.4766,-0.0469,1.282
8/15/2021,8.125,136.4609,136.4766,-0.1094,1.257
8/31/2021,2,103.7422,103.7578,-0.0859,1.296
9/30/2021,2.125,104.3906,104.4063,-0.0938,1.311
10/31/2021,2,103.6719,103.6875,-0.0938,1.328
11/15/2021,2,103.7344,103.75,-0.0703,1.322
11/15/2021,8,137.1484,137.1641,-0.125,1.286
11/30/2021,1.875,103,103.0156,-0.125,1.333
12/31/2021,2.125,104.3047,104.3203,-0.125,1.359
1/31/2022,1.5,100.7578,100.7734,-0.1016,1.365
2/15/2022,2,103.8125,103.8281,-0.0547,1.335
2/28/2022,1.75,102.1875,102.2031,-0.0625,1.369
3/31/2022,1.75,102.0859,102.1016,-0.0938,1.391
4/30/2022,1.75,102.1016,102.1172,-0.0703,1.393
5/15/2022,1.75,102.125,102.1406,-0.0234,1.392
5/31/2022,1.875,102.8047,102.8203,-0.0547,1.406
6/30/2022,2.125,104.2656,104.2813,-0.0703,1.421
7/31/2022,2,103.4688,103.4844,-0.0703,1.434
8/15/2022,1.625,101.3281,101.3438,-0.0469,1.408
8/15/2022,7.25,136.3594,136.375,-0.0547,1.39
8/31/2022,1.875,102.7188,102.7344,-0.0313,1.436
9/30/2022,1.75,101.9063,101.9219,-0.0156,1.445
10/31/2022,1.875,102.6484,102.6641,-0.0234,1.457
11/15/2022,1.625,101.1406,101.1563,0.0156,1.445
11/15/2022,7.625,140.0313,140.0469,-0.0469,1.397
11/30/2022,2,103.4844,103.5,unch.,1.458
12/31/2022,2.125,104.3359,104.3516,0.0078,1.459
1/31/2023,1.75,101.8281,101.8438,0.0156,1.471
2/15/2023,2,103.5391,103.5547,-0.0156,1.465
2/15/2023,7.125,138.0156,138.0313,-0.1094,1.411
5/15/2023,1.75,101.6016,101.6172,-0.0156,1.514
8/15/2023,2.5,106.9531,106.9688,-0.0156,1.515
8/15/2023,6.25,133.7813,133.7969,-0.1016,1.48
11/15/2023,2.75,108.7969,108.8125,unch.,1.541
2/15/2024,2.75,108.7578,108.7734,0.0313,1.58
5/15/2024,2.5,106.8047,106.8203,0.0469,1.615
8/15/2024,2.375,105.7656,105.7813,0.0781,1.645
11/15/2024,2.25,104.6641,104.6797,0.0859,1.673
11/15/2024,7.5,147.8906,147.9063,0.0234,1.614
2/15/2025,2,102.4844,102.5,0.0938,1.7
2/15/2025,7.625,150.0078,150.0234,0.0781,1.634
5/15/2025,2.125,103.5469,103.5625,0.0703,1.707
8/15/2025,2,102.3906,102.4063,0.0859,1.725
8/15/2025,6.875,145.4688,145.4844,0.0469,1.681
11/15/2025,2.25,104.6563,104.6719,0.0625,1.728
2/15/2026,6,139.1875,139.2031,0.1016,1.721
8/15/2026,6.75,147.7422,147.7578,0.0391,1.756
11/15/2026,6.5,146.1406,146.2031,0.1016,1.766
2/15/2027,6.625,148.1719,148.1875,0.0313,1.786
8/15/2027,6.375,147.0313,147.0938,0.0313,1.822
11/15/2027,6.125,145.1328,145.1953,0.0156,1.835
8/15/2028,5.5,139.9063,139.9688,-0.0313,1.897
11/15/2028,5.25,137.5547,137.6172,-0.0156,1.913
2/15/2029,5.25,138,138.0625,-0.0234,1.929
8/15/2029,6.125,149.5234,149.5859,-0.0391,1.937
5/15/2030,6.25,153.0313,153.0938,-0.0547,1.963
2/15/2031,5.375,143.7578,143.8203,0.0078,1.985
2/15/2036,4.5,138.0234,138.0859,0.0859,2.149
2/15/2037,4.75,142.6328,142.6953,0.1406,2.201
5/15/2037,5,147.4531,147.5156,0.125,2.192
2/15/2038,4.375,136.1953,136.2578,0.1328,2.273
5/15/2038,4.5,138.5625,138.625,0.125,2.278
2/15/2039,3.5,120.1172,120.1797,0.0547,2.359
5/15/2039,4.25,133.6563,133.7188,0.1484,2.358
8/15/2039,4.5,138.3125,138.375,0.1172,2.363
11/15/2039,4.375,136.0156,136.0781,0.1563,2.378
2/15/2040,4.625,140.8125,140.8438,0.0781,2.382
5/15/2040,4.375,136.1953,136.2266,0.125,2.397
8/15/2040,3.375,117.1016,117.1797,unch.,2.923
11/15/2040,4.25,133.9922,134.0234,0.1719,2.416
2/15/2041,4.75,143.7656,143.7969,0.2031,2.409
5/15/2041,4.375,136.6641,136.6953,0.1484,2.424
8/15/2041,3.75,124.75,124.7813,0.1406,2.44
11/15/2041,3.125,112.6016,112.6328,0.1406,2.46
2/15/2042,3.125,112.5781,112.6094,0.1328,2.465
5/15/2042,3,109.8594,109.8906,0.125,2.485
8/15/2042,2.75,104.5781,104.6094,0.1406,2.511
11/15/2042,2.75,104.3906,104.4219,0.1016,2.522
2/15/2043,3.125,112,112.0313,0.0859,2.509
5/15/2043,2.875,106.7578,106.7891,0.0938,2.529
8/15/2043,3.625,122.9141,122.9453,0.0781,2.471
11/15/2043,3.75,125.7344,125.7656,0.1563,2.463
2/15/2044,3.625,122.8594,122.8906,0.1875,2.486
5/15/2044,3.375,117.2969,117.3281,0.1484,2.515
8/15/2044,3.125,111.8984,111.9297,0.1641,2.535
11/15/2044,3,109.1406,109.1719,0.1406,2.548
2/15/2045,2.5,98.6172,98.6484,0.1641,2.566
5/15/2045,3,109.0781,109.1094,0.1641,2.556
8/15/2045,2.875,106.4688,106.5,0.1875,2.56
11/15/2045,3,109.2578,109.2891,0.1484,2.553
